1,TAMSA's Press Release for new A-F Accountability, 8/13/2018 ,"The TEA will release its new A-F Accountability System for districts on Aug 15, 2018. Individual school campuses will receive a ""dry-run"" of their rating this fall and will receive their official state ranking in Aug 2019.&nbsp;The new ranking system is almost exclusively based on high-stakes standardized tests (STAAR) even though the tests were never designed for this purpose.&nbsp;TAMSA desires to provide valuable background information to parents concerning the release of the new system.&nbsp;",http://tamsatx.org/uploads/3/4/4/6/34460330/83rd_pub_ed_newsletter_final.pdf,,
2,Theresa Trevino's Letter to Dr. Kim - TxNGCAA, 6/30/2016 ,"Theresa Trevino, President of TAMSA, wrote this letter to Dr. Kim, Chairman of the Texas&nbsp;Commission&nbsp;on Next Generation Assessment and Accountability.""I need to express my grave concerns with the process. As a Commission, we were tasked with making recommendations on an assessment and accountability system that affects over 5 million students. I simply want to ensure that we have a robust report of actionable recommendations to provide to the legislature and Governor that reflect the next generation. To simply relegate many ideas to study is to put them on a shelf.""",http://www.tea.state.tx.us/index2.aspx?id=25769806149,,
3,TAMSA 5/11/16 Call to Action, 5/11/2016 ,Call legislators today about testing!,http://tamsatx.org/uploads/3/4/4/6/34460330/lack_of_input_press_release_final-3.pdf,,
4,TAMSA Press Release: Enough is Enough!, 5/5/2016 ,Texans Advocating for Meaningful Student Assessment (TAMSA) finds that the current&nbsp;standardized testing system has so many faults that it cannot be remedied at this time. TAMSA calls&nbsp;for a statewide moratorium on all standardized student testing.,http://www.legis.state.tx.us/tlodocs/83R/schedules/html/C4002014100813001.HTM,,
5,TAMSA Calls for Moratorium on STAAR Writing Test, 4/27/2016 ,"Significant&nbsp;scoring inaccuracies&nbsp;on STAAR writing tests this year are unacceptable and should lead to an immediate moratorium on all writing assessments, the president of Texans Advocating for Meaningful&nbsp;Student Assessment (TAMSA), said Tuesday. The call by TAMSA for&nbsp;a moratorium comes after Lewisville ISD&nbsp;recently discovered serious grading errors by the Texas testing vendor on the writing portions of STAAR end-&shy;of-?course exams.",http://www.raiseyourhandtexas.org/blog/blog/house-bill-5-and-the-advocacy-experience/,,
6,TAMSA and COPTTR Issue Joint Press Release on HB 743 Implementation, 10/23/2015 ,Texans Advocating for Meaningful Student Assessment (TAMSA) and&nbsp;&nbsp;Coalition of Parents and Teachers for TEST/TEKS Reform (COPTTR) recently issued a press release in response to TEA's announcements regarding implementation of HB 743. Both organizations expressed disappointment that TEA's steps fall short of complying with HB 743 for the 2016 administration of STAAR and they will continue to monitor the issue closely.READ PRESS RELEASE HERE&nbsp;,http://www.tea.state.tx.us/student.assessment/,,
7,Governor Abbott Vetoes Senate Bill 313, 6/21/2015 ,"In his veto of SB 313, Governor Abbott missed an opportunity to expedite a review of the curriculum and the alignment of that curriculum with state assessments.&nbsp; SB 313&nbsp;in part would have prompted the State Board of Education (SBOE)&nbsp;to&nbsp;review&nbsp;and narrow all of the TEKS in the foundation courses, ensured that assessments are properly aligned with the TEKS, and provided diagnostic information for student performance on STAAR assessment. To a certain extent, this bill would have affirmed what is already part of our law: the SBOE is charged with reviewing the TEKS, and the STAAR assessments must be aligned with the TEKS.&nbsp; SB 313 would not have changed the SBOE's authority. Under its current charge to review the TEKS, SBOE can and should narrow their scope. During the session, many testified that&nbsp;classroom time is spent speeding through a curriculum instead of examining real learning.&nbsp;In turn, TEA and the testing vendor have the obligation to ensure that STAAR assessments are aligned with what is taught in the classroom.&nbsp;Earlier this year TAMSA called for a moratorium on the administration of the US History STAAR test specifically because information brought to light that the test was not properly aligned.&nbsp; Many Texas legislative leaders have expressed doubt and concern about the current cohort of STAAR tests.&nbsp; The veto of SB 313 should not delay the timely review of the TEKS and the thorough examination and assurance that the STAAR tests are aligned with the TEKS.&nbsp;""TAMSA has long advocated for meaningful assessments as well as detailed, diagnostic information on the student's performance,"" said Therea Trevi&ntilde;o, TAMSA President. ""We will continue to work with relevant agencies, organizations, and individuals in the interim to improve how we evaluate our students.""&nbsp;",http://www.tea.state.tx.us/Communications/Press_Releases/2013_releases/TEA_releases_2013_accountability_ratings/,http://ritter.tea.state.tx.us/perfreport/account/2013/statelist.pdf,
8,2015 TAMSA Legislative Summary, 6/3/2015 ,"Dear TAMSA Members:Thanks for your continued involvement throughout the 2015 legislative session.&nbsp; There is no substitute for legislators hearing directly from parents and students about how their actions impact the classroom and holding them accountable for their decisions.&nbsp;The number of STAAR tests remains the same - no bill passed during the 2015 session decreased the number tests.&nbsp; In fact, Texas still:Requires two more tests in high school and three more in grades 3-8 than required by federal law.&nbsp;Attaches high stakes - grade advancement or graduation - to test performance; most states do not have high stakes nor are they required by federal law.&nbsp;While the legislative session is over, our task is not! Even between legislative sessions, parents need to continue communicating with their representatives and senators to remind them about what is going on in the classroom and what still needs to be addressed. Voters expect action.Below is a short summary of bills passed that impact testing. &nbsp;Please visit the attached links for a more detailed summary.SB 149: Graduation CommitteesAllows individual graduation committees, an alternative path to graduation, for students who have&nbsp;passed all courses for graduation but have failed 1 or 2 end-of-course assessments.&nbsp; Unless renewed next legislative session, this bill expires on September 1, 2017.HB 743 - Grades 3-8 TestingSets more reasonable time limitations on tests for younger children: require test design so 85% of 3rd-5th graders are able to complete the test in 120 minutes, and 85% of 6th-8th graders can finish tests in 180 minutes.&nbsp; Also requires tests be validated by an independent third party other than the vendor or TEA.HB 1164 - High School TestingLots of early possibilities in this bill (check the longer description on our website), but in final form this calls for a broad study evaluating the best way to assess writing, and leaving the formulaic statewide standardized tests in place.HB 2804 - Accountability and a New CommissionDoes not reform STAAR tests, but does change the criteria on which schools and districts are rated: currently 95% based on STAAR test scores, this bill limits test scores to only 55% of the evaluation.SB 313 - Review of the TEKS/CurriculumProvides for the State Board of Education (SBOE) to conduct a review and possible modification to narrow the content and scope of the Texas Essential Knowledge and Skill (TEKS) of each foundation curriculum subject. &nbsp;READ DETAILED LEGISLATIVE SUMMARYVOTES ON KEY BILLS&nbsp;",,,
8,TAMSA Seeking SB 149 Success Stories, 6/17/2015 ,"The passage of SB 149, which creates individual graduation committees for students who failed up to 2 End-of-Course exams, was a huge step forward for Texas students. Parents, students, educators and advocates from across the state convinced our Texas Legislature that one test on one day should not wipe out 4 years of work and accomplishments and should not serve as the basis for determining graduation. &nbsp;Unfortunately, this bill came with an expiration date. &nbsp;Over the next 2 years, we will be charged with demonstrating that this bill indeed benefits our children and our state. &nbsp;We intend to show our lawmakers that students who graduated under this bill were not only vibrant, hard-working students in high school, but they are also successful in their pursuits after graduation.To that end, TAMSA would like to gather stories of students who graduated under this bill. &nbsp;Those willing to help with this effort can send their information to samick@tamsatx.org. &nbsp;We need as much information as you are willing to share, ideally including:&nbsp;student strengthsinvolvement in high school (clubs, extra-curricular activities, etc.)gradesplans after high school, including schools attended or currently attending and/or progress toward careersAdditionally, for those willing, we would like to follow up with these students just before the next session to see how they are doing at that time. &nbsp;We feel confident that we'll have some great success stories from students who, without this bill, would not have graduated.We appreciate your help in this effort! &nbsp;&nbsp;",http://tamsatx.org/uploads/3/4/4/6/34460330/dawson_orr_senate_testimony_8-2014.pdf,,
9,The Demise of HB 1164, 5/28/2015 ,"Despite legislative acknowledgements that cramming formulaic responses into a 26 line bloc does not equate to good writing skills, legislators failed to replace the STAAR writing tests. They had an opportunity with HB 1164.&nbsp; Representative VanDeaver had responded to the clamor for a better way to evaluate writing skills by filing HB 1164. This bill would have required districts to assess students&rsquo; writing according to the TEKS (state standards). Districts could chose the evaluation method, including implementing a portfolio program. Students&rsquo; performances on writing assessments would be reported to parents and in the aggregate to campuses and the State. High school students would have to demonstrate satisfactory performance on the district&rsquo;s writing assessment to graduate. A STAAR language arts test would still have been administered, but the writing component would have been returned to the sanity of the classroom.&nbsp; However, that sanity vanished when the bill was transformed in the Senate. Apparently, districts are not to be trusted with evaluating students&rsquo; learning. Although HB 1164 passed the House unanimously, the Senate Education Committee members substituted it whole cloth with new language. The new language not only leaves in place the current STAAR writing tests but also leaves the authority to even consider an alternate way to assess writing well centralized at the state level. The Senate-passed version of HB 1164 provides for a study and a pilot program. TEA is to conduct a study for a year on alternate methods to assess writing and then institute a two-year pilot program with select districts. The grading of any alternate writing assessment would still take place at the state level.&nbsp; How very disappointing to us as parents and very frustrating to our students and teachers who have to bear the ultimate price of continuing to prep for the rigid 26-line STAAR writing tests!&nbsp; TAMSA had joined many others in coming to hearings and testifying in favor of the initial version of HB 1164. Dawson Orr, superintendent of Highland Park ISD, aptly captured the need to replace the STAAR writing test when he earlier stated: properly assessing writing cannot be a one-time event and cannot occur with a 26-line limit. (Sen. Ed. Committee, August 26, 2014). The testimony of those most attuned to the impact of STAAR tests in the classroom had seemingly no effect on the Senators. Instead of concrete action to replace the STAAR writing test, the Senate chooses to spend state resources on another study. If they had been paying attention, they would know that we already have plenty of studies and research that offer alternatives for writing assessments.&nbsp; We are quick to hold our schools accountable for our students&rsquo; learning. We need to be just as quick to hold our legislators accountable for the decisions that they make that impact our students&rsquo; learning. Legislators have recognized issues with the STAAR tests. Lt. Gov. Dan Patrick stated &ldquo;we don't trust this test,"" and Senate Education Chairman Larry Taylor noted ""there seems to be some sort of disconnect between our test and real student capabilities."" Yet, the Senators still want to hold students accountable in a punitive fashion for a test that leadership does not trust. Even if a study is desired, at least the high stakes should have been removed while alternative assessments were being considered. TAMSA urges that the primary focus of education policy should always be what is in the best interest of children. That focus is hard to find in the final version of HB 1164.&nbsp;READ STATEMENT FROM REPRESENTATIVE VAN DEAVERTAMSA-DEMISE OF HB 1164 (PDF)",,,
